SegmentDir,Month,Fatal,Serious,Slight
M1 J12-13 SB,2015-11-01,0.0,0.0,2.0
M1 J12-13 SB,2015-12-01,0.0,0.0,2.0
M1 J12-13 SB,2016-02-01,0.0,0.0,3.0
M1 J12-13 SB,2016-03-01,0.0,0.0,1.0
M1 J12-13 SB,2016-04-01,0.0,1.0,0.0
M1 J12-13 SB,2016-05-01,0.0,0.0,1.0
M1 J12-13 SB,2016-06-01,0.0,0.0,4.0
M1 J12-13 SB,2016-07-01,0.0,0.0,1.0
M1 J12-13 SB,2016-10-01,0.0,0.0,3.0
M1 J12-13 SB,2016-11-01,0.0,0.0,2.0
M1 J12-13 SB,2016-12-01,0.0,1.0,0.0
M1 J12-13 SB,2017-01-01,0.0,0.0,1.0
M1 J12-13 SB,2017-04-01,0.0,1.0,1.0
M1 J12-13 SB,2017-06-01,0.0,0.0,2.0
M1 J12-13 SB,2017-07-01,0.0,0.0,2.0
M1 J12-13 SB,2017-09-01,0.0,0.0,1.0
M1 J12-13 SB,2017-10-01,0.0,0.0,1.0
M1 J12-13 SB,2017-12-01,0.0,0.0,1.0
M1 J12-13 SB,2018-02-01,0.0,0.0,1.0
M1 J12-13 SB,2018-03-01,0.0,0.0,1.0
M1 J12-13 SB,2018-04-01,0.0,0.0,1.0
M1 J12-13 SB,2018-05-01,0.0,0.0,3.0
M1 J12-13 SB,2018-07-01,0.0,0.0,2.0
M1 J12-13 SB,2018-08-01,0.0,0.0,2.0
M1 J12-13 SB,2018-09-01,0.0,0.0,4.0
M1 J12-13 SB,2019-01-01,0.0,0.0,1.0
M1 J12-13 SB,2019-05-01,0.0,0.0,2.0
M1 J12-13 SB,2019-06-01,0.0,0.0,1.0
M1 J12-13 SB,2019-11-01,0.0,0.0,1.0
M1 J12-13 SB,2020-01-01,1.0,0.0,0.0
M1 J12-13 SB,2020-11-01,0.0,0.0,1.0
M1 J12-13 SB,2021-05-01,0.0,0.0,1.0
M1 J12-13 SB,2021-09-01,1.0,0.0,1.0
M1 J16-17 NB,2013-03-01,0.0,0.0,1.0
M1 J16-17 NB,2013-04-01,0.0,1.0,1.0
M1 J16-17 NB,2013-06-01,0.0,0.0,1.0
M1 J16-17 NB,2013-07-01,1.0,0.0,1.0
M1 J16-17 NB,2013-08-01,0.0,0.0,2.0
M1 J16-17 NB,2013-11-01,0.0,0.0,2.0
M1 J16-17 NB,2013-12-01,0.0,0.0,2.0
M1 J16-17 NB,2014-09-01,0.0,0.0,1.0
M1 J16-17 NB,2014-12-01,1.0,0.0,0.0
M1 J16-17 NB,2015-05-01,0.0,0.0,1.0
M1 J16-17 NB,2015-06-01,0.0,0.0,1.0
M1 J16-17 NB,2015-07-01,0.0,2.0,0.0
M1 J16-17 NB,2015-09-01,0.0,0.0,3.0
M1 J16-17 NB,2015-11-01,0.0,0.0,2.0
M1 J16-17 NB,2015-12-01,0.0,0.0,3.0
M1 J16-17 NB,2016-01-01,0.0,0.0,1.0
M1 J16-17 NB,2016-02-01,0.0,0.0,2.0
M1 J16-17 NB,2016-05-01,0.0,0.0,1.0
M1 J16-17 NB,2016-06-01,0.0,0.0,1.0
M1 J16-17 NB,2016-07-01,0.0,0.0,2.0
M1 J16-17 NB,2017-01-01,1.0,0.0,0.0
M1 J16-17 NB,2017-03-01,0.0,0.0,2.0
M1 J16-17 NB,2017-05-01,0.0,0.0,1.0
M1 J16-17 NB,2017-07-01,0.0,0.0,2.0
M1 J16-17 NB,2017-08-01,0.0,0.0,1.0
M1 J16-17 NB,2017-09-01,0.0,1.0,0.0
M1 J16-17 NB,2018-03-01,0.0,1.0,0.0
M1 J16-17 NB,2018-04-01,0.0,0.0,1.0
M1 J16-17 NB,2018-08-01,0.0,0.0,1.0
M1 J16-17 NB,2018-11-01,0.0,1.0,0.0
M1 J16-17 NB,2018-12-01,0.0,0.0,1.0
M1 J16-17 NB,2021-02-01,0.0,1.0,3.0
M1 J16-17 NB,2021-06-01,0.0,0.0,1.0
